Price,Price_log
64990,4.812846536967071
92990,4.968436247711705
36990,4.5680843313153945
52990,4.724193919514329
72990,4.863263363650481
39990,4.601951404133522
57490,4.759592308645975
72990,4.863263363650481
104990,5.021147935720995
49990,4.69888313675259
76990,4.886434319628938
109990,5.041353202046975
32990,4.5183823155453435
50990,4.707485011967473
24990,4.39776625612645
41990,4.62314587463794
69990,4.845035993513415
93990,4.973081649601368
50990,4.707485011967473
40990,4.612677918316502
58990,4.770778396169147
33990,4.53135116458306
37990,4.57966929355472
36990,4.5680843313153945
52990,4.724193919514329
15990,4.203848463746235
64990,4.812846536967071
81990,4.913760886412323
3490,3.5428254269591797
5490,3.739572344450092
32990,4.5183823155453435
50990,4.707485011967473
30990,4.491221576239283
38990,4.590953235187985
34990,4.5439439424829065
29990,4.4769764657595275
32990,4.5183823155453435
99990,4.999956568380193
118990,5.075510464524414
23990,4.380030247967831
39990,4.601951404133522
15990,4.203848463746235
30990,4.491221576239283
37990,4.57966929355472
46990,4.672005445022952
67990,4.832445041174111
72990,4.863263363650481
64990,4.812846536967071
81990,4.913760886412323
26990,4.431202884556517
32990,4.5183823155453435
58970,4.770631127777807
11990,4.078819183098848
13990,4.145817714491828
50990,4.707485011967473
24990,4.39776625612645
41990,4.62314587463794
30990,4.491221576239283
38990,4.590953235187985
68990,4.838786144946595
79990,4.903035696788497
123990,5.093386660001371
18990,4.278524964737017
21990,4.342225229360791
46990,4.672005445022952
67990,4.832445041174111
40990,4.612677918316502
58990,4.770778396169147
8990,3.9537596917332287
11990,4.078819183098848
8990,3.9537596917332287
9990,3.9995654882259823
89990,4.954194251815863
99990,4.999956568380193
26990,4.431202884556517
32990,4.5183823155453435
79990,4.903035696788497
79990,4.903035696788497
15990,4.203848463746235
56990,4.75579865697383
56990,4.75579865697383
71990,4.857272173564041
